country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700,33500,43000,45200,49700,53600,63700,66200,69200,58500,50000,43000,38000,23600,22000,17500,19500,18700,12200,13000,17600,
Panama,65900,46300,40600,35800,,32500,34100,,29000,34000,38000,42900,46700,51000,52200,50600,51000,48700,51800,47100,46700,,,,,,,,,22800,17800,12100,4140,,1780,4850,2060,2240,6780,16900,13600,17200,20200,27300,37400,44400,,58700,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,308000,,,,,,,,,,,,,,,,,,,,,,,,,,,86100,,,,
Paraguay,87000,,136000,84800,,100000,96800,93600,86200,80600,70400,61100,,60900,64800,67500,75900,74200,67200,58000,48600,37300,102000,31600,67700,71100,47500,,,18600,7270,8970,23100,27500,31800,29000,41900,57700,71400,81900,81500,82100,86100,,,,,,,,
Peru,559000,,,510000,,,,,,,476000,344000,327000,,,166000,,,308000,,,,,349000,,542000,563000,586000,113000,61700,31700,20400,17400,72000,22100,21300,21000,19800,19600,39400,17500,21200,,,,,11000,33800,47600,,
Philippines,,,,,,,221000,,,281000,,523000,533000,671000,741000,463000,525000,514000,344000,215000,135000,,425000,529000,706000,,451000,,919000,1260000,,1110000,1070000,1150000,1240000,1220000,1430000,1410000,1270000,992000,,,,,333000,364000,430000,424000,501000,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95900,102000,108000,134000,158000,177000,188000,177000,166000,147000,128000,112000,110000,89200,75800,77600,,,59800,50700,,
Portugal,,,,116000,116000,,72400,62200,37700,,43100,38100,,,20800,5540,3500,4720,,,2570,9970,3090,2140,7580,3870,3040,,,,16200,,,,,2120,2960,,,461,142,1190,907,525,3050,7800,11200,3660,2430,,
Qatar,,2690,2230,2180,2470,,2180,1990,1210,920,934,1310,1220,1810,1980,2870,2770,4320,5150,5920,7200,10000,12100,13000,10500,,,,1490,715,2170,1520,1030,1960,2730,905,3890,285,,1700,1790,581,2080,6670,7000,4350,3580,2970,1990,2950,
Romania,,,,,,,,,,,,,,,,,,,,,,,,335000,227000,164000,149000,150000,96100,127000,118000,103000,63700,23700,1160,3180,20200,19500,20500,18800,20300,24500,33100,,,82500,104000,126000,136000,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,228000,487000,,,,,,,,,,,393000,338000,114000,45000,,21700,24600,23000,150000,80700,36900,8520,10800,,
Rwanda,,,,302000,321000,345000,,336000,329000,,,,,,,,,,,,,,,,,,,,,171000,,,256000,197000,,,,,,,,,,,,,14000,42700,81300,121000,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,1780,,,,1040,1170,706,692,,,,,,456,,75,157,417,382,,236,165,411,185,387,,
San Marino,,,,,,,,,,8,17,,,,46,43,120,189,255,236,201,142,101,81,91,,160,148,,,218,,,,94,,,,,,,,,,,,,,,79,
Sao Tome and Principe,,,,,,,,,,,,,,662,689,,,1700,1510,,1110,,,,,,,,,4730,,,1080,784,455,456,,2710,2520,2470,2720,,,3730,3700,3820,,2100,,,
Saudi Arabia,,,,,,,,,,776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253000,89200,90200,4620,67700,,22100,59000,,,,
Senegal,,,,,,,,,586000,585000,595000,602000,607000,610000,625000,640000,585000,,620000,654000,689000,,745000,,781000,,747000,696000,668000,697000,658000,,,580000,643000,637000,594000,561000,555000,562000,553000,550000,503000,541000,542000,564000,,,,681000,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,422,3170,4170,9980,15000,7460,10500,10000,3420,2190,2250,2750,3820,4890,
Seychelles,,,,,,,,,,1600,,,,,,,,,,,,,,1190,887,801,763,,52,,155,824,112,51,55,57,,,,,,,,64,84,77,152,249,269,224,
Sierra Leone,,,,,,,,,,,,,,369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43700,2480,,19300,6100,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,72,476,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,18400,21400,22200,17800,11400,5710,5560,8040,10400,11700,9150,8540,11000,13400,14600,12600,10200,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,7540,5520,4670,2210,3170,3850,3140,2430,1590,382,135,50,846,729,764,683,353,431,718,894,521,558,225,294,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300,14900,15000,,,,,,360,492,68,,,4350,,
Somalia,,,,,,,498000,570000,668000,749000,821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,1290000,,,,,,,,,,,,,,,,,,,,,880000,,,793000,755000,,,731000,641000,724000,653000,563000,460000,397000,381000,,,,,,,,,,312000,,568000,845000,,
South Korea,,224000,134000,173000,192000,173000,123000,171000,153000,66800,1780,2800,9930,12600,43900,70500,83100,25000,5420,5480,10400,12000,19100,28500,41600,59100,66800,53900,59200,52200,30900,73600,86500,53600,56200,9830,8170,5170,752,11000,6960,9810,59900,128000,113000,39600,74400,66200,25200,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894000,,,,1090000,,,,,
Spain,,219000,177000,148000,,17400,3030,27400,45800,43100,27800,27100,,13600,7970,6810,6440,25300,43300,23000,22000,9030,8900,275,442,953,1510,1680,,645,3990,3370,2260,266,962,3380,3890,1440,234,1370,1790,1220,3130,6220,7380,9280,27800,75000,91800,,
Sri Lanka,,,,,,,,380000,,,,,,,,,34000,,,,,,,,,,,,,,,1970,1260,6190,51000,45400,54500,61500,77000,116000,89100,87500,83500,61300,45300,16400,16400,12400,9300,,
St. Kitts and Nevis,,,,,,,,,,,,,,,47,1010,830,,86,73,,,,,,,,,,,,,297,115,137,22,,133,186,,132,,17,13,4,,54,,,,
St. Lucia,,,,,,,,,,,,1920,1420,230,308,0,0,,,,630,,,,,,,,,,2050,1930,284,297,1130,1430,959,1080,,,,,,,,235,219,228,222,260,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,1270,,588,,,,,,,,95,,,,,,295,,158,94,104,269,,181,259,99,71,97,38,21,,113,94,58,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360000,2620000,2620000,2650000,2660000,2560000,2440000,,,
Suriname,,,,,,,,3730,2680,,,,,,,594,,728,648,,,,,,,,,,,,,,,,,10900,9670,10800,7120,5170,6260,7420,7120,7400,7670,6600,5850,8580,8600,7680,
Sweden,,,,,,,3900,,,,,,25900,,,,,11200,9450,7190,2810,1600,939,2150,611,7180,1250,1130,,1600,2560,1970,1920,5060,20600,30200,30900,22000,7760,2090,2050,1650,921,253,429,17,970,1880,892,,
Switzerland,,,,,,,,145000,140000,,,124000,120000,117000,116000,112000,107000,99500,89900,79900,72400,69500,70700,76000,81600,51900,43100,,,659,1700,2400,2530,2720,3080,,,,,2570,2280,1660,1820,992,902,794,64,706,402,,
Syria,,309000,,220000,206000,211000,208000,203000,215000,226000,222000,231000,236000,239000,214000,194000,169000,106000,112000,108000,118000,97400,90200,91100,87200,87700,91100,113000,87400,89600,81200,63900,59700,28700,18200,15100,15500,15100,15100,17400,21800,,,523000,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24200,27300,15200,15100,13100,11700,13800,11200,10900,9260,8000,8810,5660,5210,9410,13300,13600,4180,,,
Tanzania,,,,,,,1590000,,,,1040000,1120000,1340000,1430000,1600000,1770000,1880000,2000000,2140000,2200000,2300000,2400000,2480000,2610000,2760000,2840000,2910000,2970000,3070000,3120000,2960000,2730000,1800000,1260000,965000,646000,226000,,69200,,604000,,1100000,1370000,1580000,,1560000,1610000,1900000,1430000,
Thailand,,,,1780000,1810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,84500,113000,93500,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28100,18100,18500,13600,16700,14800,13200,10500,10200,5690,7730,9000,
Togo,,167000,170000,,,,,,125000,124000,126000,,148000,166000,210000,228000,262000,218000,224000,230000,230000,219000,,,261000,202000,148000,167000,,88400,99700,77700,73000,73500,67000,65700,59600,89100,82400,,,,,,89400,69600,96400,90500,66400,40100,
Tonga,1990,1840,883,,1800,456,,,,,,,179,1380,158,435,464,,,,1190,,,1140,,,,,873,995,,146,,,290,181,167,,,,,,198,189,,163,,,,,
Trinidad and Tobago,,13600,15200,16500,16300,14100,8090,6580,9600,17100,22400,14300,12400,12600,14000,13700,17100,13700,12600,15600,19800,21100,22400,24300,,,21700,21100,,3530,1010,1710,8000,5710,1520,5120,,921,2430,2020,1510,,,,,,,,,,
Tunisia,,201000,,,,233000,,,218000,206000,188000,173000,148000,118000,90300,83200,75100,70600,68200,64800,75000,63900,60100,50600,51100,48500,61100,75700,,74000,58800,34900,8410,11600,13500,13400,15300,24800,20700,14300,11200,11200,13900,11000,,,,,,,
Turkey,,,,,739000,,,,,,,,,,,488000,437000,463000,362000,367000,257000,304000,294000,453000,506000,542000,,511000,,320000,263000,228000,208000,181000,162000,143000,127000,97300,148000,306000,248000,312000,404000,343000,277000,278000,311000,273000,267000,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,71,178,,,231,
Uganda,,,,,,,,,,1500000,,1480000,1480000,,,,1270000,,,,,,,,,,,,,,,,,,,,,,,319000,575000,370000,,329000,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59700,199000,196000,183000,196000,197000,195000,184000,143000,111000,100000,101000,136000,,,,,,
United Arab Emirates,,,,,,,,,13900,,21000,26800,24400,32600,35800,39600,42200,26200,21400,13400,6210,5460,13500,22800,29000,28900,37100,48500,49400,,,,,,,,,15400,,,,,21900,25600,9330,446,2570,5640,,,
United Kingdom,,101000,153000,209000,236000,238000,228000,207000,198000,183000,109000,111000,150000,215000,228000,268000,197000,80500,13000,11800,8860,78000,146000,,,,,,2790,1410,1800,2920,8040,4090,26100,90,15500,95000,43700,78100,68100,70500,64000,11900,4430,2980,16200,20500,32100,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,,,,,575000,887000,672000,612000,,446000,88900,105000,142000,,
Uruguay,,,,,,,,,,,,,,43800,43500,38800,37600,40300,,,,25000,18800,16600,21800,23600,25400,25200,,,,,,,,206,197,4640,802,908,470,586,677,245,8590,41,0,857,380,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167000,136000,144000,124000,109000,74500,50800,20900,15400,15200,16700,17300,15300,
Vanuatu,,,,,,,,,,,,2990,,,,,,,,6100,,,,,,,,,558,686,200,131,241,104,766,279,,,,,,,,,,3300,,,,,
Venezuela,,488000,484000,493000,530000,527000,480000,463000,440000,425000,,,,,,,,,,,,,,,,,,,,355000,271000,199000,82600,141000,139000,169000,169000,123000,195000,137000,117000,121000,133000,163000,196000,208000,278000,325000,,,
Vietnam,,,,,,,,180000,657000,,,444000,,,,658000,,,,,,,,,,,,,12400,34000,146000,272000,550000,,,686000,483000,,94200,0,0,0,0,0,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360000,,1160000,,998000,906000,832000,,,830000,,648000,,561000,541000,,,650000,,,,
Zambia,,,208000,,,,210000,216000,235000,249000,259000,268000,281000,271000,267000,,267000,,316000,,,,,,477000,520000,,,610000,651000,665000,684000,637000,,387000,207000,254000,201000,198000,289000,379000,293000,264000,352000,,,,496000,,,
Zimbabwe,,,,,,,,,,,,,38300,,17300,,25700,,,,,,,,,,,,366000,293000,244000,163000,220000,233000,,,,,,,,,13900,11800,,,,,,,
