country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,,8600,7500,7140,6680,5610,7130,7410,8520,8460,7850,8150,9010,7990,6540,4470,1970,2340,933,526,,352,1850,1270,1360,595,96,270,40,184,1390,3920,4220,5430,5990,8180,7020,,,,,7480,6850,5700,3780,1410,1350,585,1190,2770,
Bangladesh,4540000,,,2840000,,,2480000,2920000,3090000,,,3700000,,4150000,4410000,4740000,4970000,5220000,3860000,3940000,3570000,,,,,,,,,,,,,,,440000,522000,,687000,661000,804000,,,,,,,,,,
Barbados,,5160,4460,4080,,,358,497,523,337,,1710,1720,1120,,,,,,76,601,,2580,,,,,,,130,557,667,1460,1490,1680,1820,1100,575,282,625,500,981,,,1450,905,418,719,328,212,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,76700,,,,,,0,3030,2270,7450,7150,5000,3840,,,2300,2460,2020,6250,7720,5890,2110,3560,5540,,
Belgium,,,,,,,,32600,,20100,15300,24100,23000,47100,51500,53600,42100,31400,22400,,,24900,35300,16800,21400,21200,17900,,,426,0,167,1950,8880,20400,22800,20000,13100,8600,9720,11500,10400,8490,8890,9810,7400,5450,2160,4130,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,1320,2540,,2540,1830,2160,1860,2120,1640,1290,815,1050,115,436,293,190,240,148,302,221,
Benin,,,,,,,,,,,,,,,334000,340000,364000,,393000,403000,494000,,442000,422000,425000,416000,406000,386000,,,,,,190000,156000,212000,177000,,140000,83700,75600,77100,67800,,59900,,,52700,50900,121000,
Bhutan,,,,,,,,,48200,48000,,,,,,,,,,,,,,,,,,,50300,50000,47300,44500,,,,32500,27800,,20600,15400,12700,11100,8420,8830,,9400,9690,9570,7460,,3250
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980,324,1680,4090,4290,6550,9650,7860,7310,6530,3440,30500,71000,107000,149000,158000,160000,155000,140000,118000,95400,,
Botswana,63000,69600,70400,71400,67600,59700,54700,50000,50900,50500,44700,36100,,28700,28100,24200,22500,21300,21000,20100,21500,16500,18600,20100,20400,47900,46900,,40200,43300,40900,37100,36900,36600,33800,32100,29500,34500,38900,41200,,,35300,35600,36300,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183000,287000,75600,,106000,,315000,,489000,,,,,,,,,
Brunei,,,,,,,,2660,2730,5550,5820,7200,7920,7720,7570,,6620,,,,,3550,2970,2060,2050,756,,,,,,,,,,,,,,157,,,106,167,62,260,59,145,295,225,
