Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Military Expenditure of GDP,Population Growth,Population Density,Pop % as Refugees Abroad,Pop % as Refugee Intake
111,Senegal,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.153,0.07200000000000001,0.0145,0.0275,84.6,0%,0.0008880000000000001
113,Namibia,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,0.0303,0.0187,3.03,0%,0.00128
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,0.0243,0.0284,74.3,0%,0.0012699999999999999
116,Armenia,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,0.0495,0.00202,104.0,0%,0.0060799999999999995
117,Iran,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125,0.0231,0.0135,50.9,0%,0.0118
118,Guinea,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,0.0203,0.0283,52.0,0%,0.000389
119,Georgia,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,0.0199,-0.0016600000000000002,57.5,0%,0.00033999999999999997
121,Kenya,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,0.0116,0.0227,92.4,0%,0.00835
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,0.0282,0.0274,4.39,1%,0.0188
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,0.00895,0.0291,38.6,0%,0.000155
124,Tunisia,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.059000000000000004,0.055,0.0256,0.0111,75.3,0%,0.000149
125,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002,0.0134,0.0104,1250.0,0%,0.00524
126,Iraq,4.437,1.043,0.98,0.574,0.24100000000000002,0.14800000000000002,0.08900000000000001,0.0347,0.0225,90.5,1%,0.0069700000000000005
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005,0.0271,0.03,16.1,1%,0.0013599999999999999
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,0.00735,0.0211,108.0,0%,5.67e-05
130,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,0.0194,0.00612,340.0,1%,4.9e-05
132,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,0.0218,0.0299,12.7,0%,0.0278
133,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,0.0336,-0.00533,75.9,0%,4.94e-05
134,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,0.00601,0.0258,112.0,0%,0.006540000000000001
136,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,0.0205,0.0356,222.0,0%,0.0307
137,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,0.0118,0.0198,101.0,0%,0.00257
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,0.0121,0.0289,24.0,0%,0.00322
139,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,0.0312,0.0242,149.0,0%,0.00148
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,0.024,0.0102,460.0,0%,0.000143
141,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,0.00517,0.0243,51.3,0%,0.0016699999999999998
143,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,0.00613,0.0266,46.4,0%,4.2999999999999995e-06
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,0.0155,0.0081,70.0,0%,6.92e-05
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,0.0177,0.0313,449.0,3%,0.006809999999999999
146,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,0.0069900000000000006,0.0142,37.9,0%,0.000612
147,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,1.29e-05,0.0125,409.0,0%,2e-07
148,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,0.0277,0.0218,4.06,0%,0.000484
150,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,0.00885,0.0264,198.0,0%,0.0007559999999999999
152,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,0.0119,0.0261,512.0,2%,0.0115
153,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,0.0132,0.0295,65.5,0%,0.00417
154,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,0.0117,0.0231,58.3,7%,0.0019
155,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,0.015,0.0167,7.62,13%,0.00151
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,0.0336,0.00782,18.1,20%,0.027000000000000003
