Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Military Expenditure of GDP,Population Growth,Population Density,Pop % as Refugees Abroad,Pop % as Refugee Intake
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,0.0148,0.000868,18.2,0%,0.00424
2,Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,0.0132,0.00429,136.0,0%,0.0065
3,Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,0.0168,0.00675,14.7,0%,0.01
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,0.0,0.0241,3.38,0%,0.0027
5,Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,0.0134,0.00586,507.0,0%,0.005520000000000001
6,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,0.00728,0.00708,217.0,0%,0.0128
7,Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,0.0112,0.0108,24.5,0%,0.0253
8,New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,0.015,0.0156,18.2,0%,0.0005740000000000001
9,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,0.0128,0.0142,4.11,0%,0.0027199999999999998
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,0.00725,0.00413,109.0,0%,0.0152
11,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,0.0188,0.0152,3.28,0%,0.00305
12,Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,0.0,0.00958,98.9,0%,0.00123
13,Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,0.0526,0.019,394.0,0%,0.0018899999999999998
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,0.006220000000000001,0.0195,238.0,0%,0.00418
15,United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,0.0174,0.00561,279.0,0%,0.00197
16,Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,0.0029,0.0151,70.9,0%,0.0016
17,Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,0.0128,0.00273,240.0,0%,0.0137
18,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,0.00934,0.00498,381.0,0%,0.00534
19,United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,0.0341,0.00474,36.0,0%,0.0010400000000000001
20,Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,0.0119,0.00374,138.0,0%,0.000192
22,Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,0.00565,0.0365,1380.0,0%,0.0202
23,Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,0.00517,0.0109,65.6,0%,0.00022400000000000002
24,France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,0.0186,0.0014,119.0,0%,0.00626
26,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,0.0182,0.0118,25.5,0%,0.00010800000000000001
27,Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,0.00419,0.0156,164.0,0%,2.37e-05
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,0.0798,0.0167,15.9,0%,9.3e-06
30,Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,0.0124,0.00594,93.7,0%,0.00124
31,Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,0.0,0.0165,57.1,0%,0.000602
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,0.0148,0.0075200000000000015,25.3,0%,0.000156
33,Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,0.0202,0.0036,19.8,0%,0.000149
34,Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,0.0321,0.0114,8290.0,0%,3e-07
35,El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,0.0119,0.0051,311.0,1%,8.1e-06
36,Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,0.0135,-0.00206,206.0,0%,0.00343
37,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,0.0369,0.0447,2160.0,0%,0.000155
40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,0.0202,-0.000102,124.0,0%,0.000335
42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,0.0203,-0.00526,44.0,0%,0.000662
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,0.0315,0.0138,45.4,0%,1.28e-05
44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,0.0105,0.00675,103.0,0%,0.000361
45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,0.00655,0.0123,54.4,0%,5e-05
47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,0.00707,0.00993,16.4,0%,8.669999999999999e-05
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,0.0204,-0.00598,84.1,0%,0.0002
49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,0.0163,0.0078,130.0,0%,0.0103
50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,0.0229,0.0168,70.0,0%,0.00602
51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,0.0562,0.0167,236.0,0%,0.000164
52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,0.0134,0.00283,136.0,0%,0.0014
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,0.0203,-0.007490000000000002,30.7,0%,0.000352
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,0.0267,0.00198,527.0,0%,6.28e-05
55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,0.0212,0.00348,31.3,0%,0.000252
56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,0.016,0.00456,272.0,0%,3e-07
57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,0.00153,0.000322,625.0,0%,1.58e-05
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,0.00931,-0.00209,348.0,0%,1.15e-05
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,0.0163,0.0164,87.1,0%,7.8e-06
60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,0.0106,0.0129,6.87,0%,2.8199999999999998e-05
61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,0.0142,0.014,10.6,0%,7.63e-05
62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,0.0122,-0.000575,107.0,0%,0.000596
63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,0.00986,0.0127,17.7,0%,0.000144
65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,0.0117,0.0162,25.4,0%,8.859999999999999e-05
66,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,0.0194,-0.0014,112.0,0%,0.000233
67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,0.0398,0.0203,281.0,0%,0.00656
68,Russia,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,0.0388,-0.000722,8.91,0%,0.000291
69,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,0.00959,0.0136,363.0,0%,6.4e-06
70,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,0.0222,-0.0054,100.0,0%,0.00301
71,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,0.00377,-0.0181,123.0,0%,0.000105
73,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,0.0164,-0.000145,46.7,0%,0.00105
75,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,0.0167,-0.00499,73.8,1%,0.00022200000000000003
77,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,0.0073,0.0105,222.0,0%,1.59e-05
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,0.00936,-0.00692,64.7,1%,0.00159
79,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,0.0272,0.0134,108.0,0%,0.0429
80,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,0.0103,0.0133,97.2,0%,0.00404
81,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,0.0124,-0.00176,46.6,0%,0.00028900000000000003
82,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,0.0257,-0.00154,81.3,0%,0.007679999999999999
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,0.00703,0.0172,2.08,0%,1.9e-06
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,0.0124,0.00024,82.6,0%,0.000169
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,0.00461,0.0256,221.0,0%,0.00027
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,0.0601,0.0193,18.1,0%,0.00229
89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,0.0309,0.0122,81.7,0%,0.000182
90,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,0.04,0.00837,122.0,0%,0.00011
91,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,0.0424,0.000991,670.0,0%,0.204
92,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,0.00674,0.011,149.0,0%,3.8e-05
93,China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,0.0189,0.0035700000000000007,153.0,0%,0.000212
96,Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,0.011,0.0258,54.7,0%,0.0157
97,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004,0.0322,-0.00704,64.5,0%,0.00292
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,0.00442,0.0216,134.0,0%,0.000393
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001,0.0156,0.0184,200.0,0%,0.000684
101,Jordan,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.11,0.13,0.0468,0.0145,114.0,0%,0.294
102,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,0.006529999999999999,0.0272,105.0,0%,0.000105
104,Gabon,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.043,0.055,0.0159,0.0248,8.43,0%,0.00021099999999999998
106,South Africa,4.7219999999999995,0.96,1.351,0.469,0.389,0.13,0.055,0.00977,0.0134,48.3,0%,0.0015199999999999999
107,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003,0.0127,-0.00426,105.0,1%,4.44e-05
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,0.0226,0.0145,93.4,0%,0.0
