,Country,2015,2016,2017,2018,2019
101,Morocco,0.0323,0.0322,0.0319,0.0313,0.0309
102,Mozambique,0.009059999999999999,0.0102,0.0103,0.0117,0.00895
104,Namibia,0.044000000000000004,0.0376,0.0343,0.0322,0.0303
105,Nepal,0.0156,0.017,0.0173,0.0156,0.0156
106,Netherlands,0.0113,0.0116,0.0116,0.0122,0.0134
107,New Zealand,0.0115,0.0118,0.0121,0.0129,0.015
108,Nicaragua,0.00784,0.00645,0.00625,0.00624,0.00655
110,Nigeria,0.00418,0.00433,0.0043100000000000005,0.00507,0.00461
111,North Macedonia,0.00993,0.0097,0.00897,0.00944,0.0124
112,Norway,0.0151,0.0163,0.0162,0.0163,0.0168
113,Oman,0.109,0.12,0.0961,0.0952,0.0876
114,Pakistan,0.0355,0.0359,0.0377,0.0405,0.0398
115,Panama,0.0,0.0,0.0,0.0,0.0
116,Papua New Guinea,0.00484,0.00418,0.00403,0.00385,0.00373
117,Paraguay,0.0107,0.00952,0.00894,0.00925,0.009859999999999999
118,Peru,0.0173,0.013000000000000001,0.0125,0.0117,0.0117
119,Philippines,0.0114,0.0109,0.0131,0.00859,0.009590000000000001
120,Poland,0.0214,0.0194,0.019,0.0206,0.0202
121,Portugal,0.0179,0.02,0.0168,0.0186,0.0194
123,Romania,0.0145,0.013999999999999999,0.0172,0.0182,0.0204
124,Russia,0.0486,0.0545,0.0423,0.0372,0.0388
125,Rwanda,0.0125,0.0128,0.0126,0.0125,0.0119
126,Saudi Arabia,0.133,0.0987,0.102,0.0951,0.0798
127,Senegal,0.0121,0.0161,0.0146,0.0163,0.0145
128,Serbia,0.0183,0.0175,0.0184,0.0162,0.0222
129,Seychelles,0.0131,0.0154,0.0143,0.0143,0.0133
130,Sierra Leone,0.00923,0.0112,0.0109,0.007520000000000001,0.00735
131,Singapore,0.0309,0.0319,0.0315,0.0311,0.0321
132,Slovak Republic,0.0112,0.0112,0.011000000000000001,0.0122,0.0176
133,Slovenia,0.0093,0.0101,0.00982,0.0098,0.0105
135,South Africa,0.011000000000000001,0.0108,0.0104,0.00998,0.009770000000000001
136,South Korea,0.0249,0.0246,0.0242,0.025,0.0267
137,South Sudan,0.106,0.046,0.0235,0.0365,0.0336
138,Spain,0.0127,0.0114,0.0123,0.0126,0.0124
139,Sri Lanka,0.0255,0.0213,0.0214,0.0191,0.0194
140,Sudan,0.0266,0.0265,0.0351,0.0178,0.0165
141,Sweden,0.0107,0.0105,0.0102,0.0103,0.0112
142,Switzerland,0.00665,0.006809999999999999,0.006809999999999999,0.0066,0.00728
145,Tanzania,0.0113,0.0114,0.0118,0.0126,0.0132
146,Thailand,0.0143,0.0162,0.0158,0.0136,0.0134
147,Timor-Leste,0.0119,0.0097,0.00855,0.00673,0.0105
148,Togo,0.0168,0.0185,0.0186,0.0195,0.0312
149,Trinidad and Tobago,0.00805,0.00993,0.009059999999999999,0.00719,0.007359999999999999
150,Tunisia,0.0227,0.0236,0.0214,0.0211,0.0256
151,Turkey,0.0182,0.0206,0.0207,0.0255,0.0272
153,Uganda,0.0121,0.0126,0.0129,0.0144,0.0205
154,Ukraine,0.0325,0.0315,0.0288,0.0319,0.0336
156,United Kingdom,0.0186,0.0181,0.0177,0.0177,0.0174
157,United States,0.0348,0.0342,0.0331,0.0332,0.0341
158,Uruguay,0.0182,0.0187,0.0196,0.0213,0.0202
163,Zambia,0.0175,0.0143,0.0131,0.0142,0.0121
164,Zimbabwe,0.0189,0.0174,0.0154,0.0122,0.0069900000000000006
