,Country,2015,2016,2017,2018,2019
90,Kyrgyz Republic,0.0206,0.0204,0.0193,0.0199,0.021
91,Lao,0.0152,0.0154,0.0155,0.0155,0.0152
92,Latvia,-0.008190000000000001,-0.00914,-0.00886,-0.007790000000000001,-0.007490000000000001
93,Lebanon,0.0423,0.0269,0.0149,0.00542,0.000991
94,Lesotho,0.0076,0.00773,0.00788,0.00796,0.0081
95,Liberia,0.0255,0.0253,0.0249,0.0245,0.0243
96,Libya,0.00881,0.0114,0.0135,0.0148,0.0147
97,Liechtenstein,0.0066099999999999996,0.005,0.0037600000000000003,0.0029100000000000003,0.0028699999999999997
98,Lithuania,-0.00941,-0.0127,-0.013999999999999999,-0.00954,-0.00526
99,Luxembourg,0.0236,0.0216,0.0243,0.0193,0.0195
100,Madagascar,0.0269,0.0269,0.0268,0.0267,0.0266
101,Malawi,0.0276,0.0271,0.0267,0.0264,0.0264
102,Malaysia,0.0134,0.0136,0.0136,0.0135,0.0133
103,Maldives,0.0447,0.0443,0.043,0.0381,0.0292
104,Mali,0.0294,0.0298,0.03,0.0301,0.03
105,Malta,0.0239,0.0229,0.0274,0.0349,0.0365
106,Marshall Islands,0.00454,0.00514,0.00558,0.0061,0.00645
107,Mauritania,0.0289,0.0286,0.0282,0.0278,0.0274
108,Mauritius,0.00132,0.000687,0.0009019999999999999,0.000546,0.000322
109,Mexico,0.0124,0.012,0.0116,0.0113,0.0109
110,"Micronesia, Fed. Sts.",0.0134,0.012,0.0112,0.0105,0.0104
111,Moldova,-0.00788,-0.0115,-0.0169,-0.018000000000000002,-0.0181
112,Monaco,0.0106,0.009290000000000001,0.00842,0.007529999999999999,0.007259999999999999
113,Mongolia,0.0196,0.0191,0.0186,0.018000000000000002,0.0172
114,Montenegro,0.0005610000000000001,0.000231,0.00011200000000000001,-0.00023500000000000002,-0.000145
115,Morocco,0.0137,0.0133,0.0129,0.0125,0.0122
116,Mozambique,0.0283,0.0287,0.028999999999999998,0.0291,0.0291
117,Myanmar,0.00762,0.0069,0.00634,0.0060799999999999995,0.00626
118,Namibia,0.0181,0.0185,0.0187,0.0188,0.0187
119,Nauru,0.0511,0.045,-0.0133,-0.0134,-0.009729999999999999
120,Nepal,0.0040100000000000005,0.00907,0.0133,0.0165,0.0184
121,Netherlands,0.00443,0.00532,0.00591,0.00584,0.00586
122,New Zealand,0.0189,0.021,0.0212,0.00978,0.0156
123,Nicaragua,0.013000000000000001,0.0129,0.0127,0.0126,0.0123
124,Niger,0.0388,0.0386,0.0384,0.0382,0.0379
125,Nigeria,0.0265,0.0263,0.0261,0.0259,0.0256
126,North Korea,0.00502,0.00491,0.0048200000000000005,0.0047,0.00454
127,North Macedonia,0.0007469999999999999,0.000681,0.000601,0.000462,0.00023999999999999998
128,Norway,0.00995,0.00881,0.00808,0.0066,0.00675
129,Oman,0.0579,0.0485,0.0408,0.0345,0.0297
130,Pakistan,0.0209,0.0208,0.0208,0.0206,0.0203
131,Palau,0.00221,0.00339,0.0046700000000000005,0.00554,0.00562
132,Palestine,0.0229,0.0225,0.0199,0.0253,0.0251
133,Panama,0.0171,0.0171,0.0171,0.0169,0.0165
134,Papua New Guinea,0.0201,0.02,0.0199,0.0197,0.0195
135,Paraguay,0.0134,0.0132,0.0131,0.0129,0.0127
136,Peru,0.0126,0.0148,0.0166,0.0172,0.0162
137,Philippines,0.0158,0.0151,0.0145,0.013999999999999999,0.0136
138,Poland,-0.000666,-0.00043,0.000125,-2e-06,-0.000102
139,Portugal,-0.00414,-0.00315,-0.00244,-0.0016,-0.0014
140,Qatar,0.0424,0.034,0.0262,0.0207,0.018000000000000002
141,Romania,-0.0047,-0.0057399999999999994,-0.00585,-0.00588,-0.00598
142,Russia,0.00193,0.0017,0.00107,-0.000131,-0.000722
143,Rwanda,0.0254,0.026000000000000002,0.0264,0.0264,0.0261
144,Samoa,0.0067,0.00527,0.00419,0.0039700000000000004,0.00492
